region,sex,age,marst,educ,incwage
south atlantic division,male,57,divorced,grade 12,70000
south atlantic division,female,61,widowed,grade 12,30000
south atlantic division,female,27,never married/single,1 year of college,34800
south atlantic division,female,55,widowed,5+ years of college,45000
south atlantic division,female,26,divorced,grade 12,16000
south atlantic division,female,28,"married, spouse present",4 years of college,42200
south atlantic division,male,34,"married, spouse present",grade 10,22900
south atlantic division,male,53,"married, spouse present",2 years of college,45000
south atlantic division,female,49,"married, spouse present",5+ years of college,0
south atlantic division,male,41,never married/single,1 year of college,5000
south atlantic division,male,57,never married/single,4 years of college,26000
south atlantic division,female,42,"married, spouse present",1 year of college,27000
south atlantic division,male,42,"married, spouse present",2 years of college,39000
south atlantic division,female,33,never married/single,grade 12,1000
south atlantic division,female,23,never married/single,1 year of college,2900
south atlantic division,male,40,divorced,4 years of college,4000
south atlantic division,male,40,"married, spouse present",2 years of college,71000
south atlantic division,female,38,"married, spouse present",5+ years of college,80000
south atlantic division,female,53,"married, spouse present",grade 12,27500
south atlantic division,male,64,"married, spouse present","grade 5, 6, 7, or 8",15000
south atlantic division,male,40,"married, spouse present",1 year of college,50000
south atlantic division,female,36,"married, spouse present",1 year of college,17000
south atlantic division,male,45,"married, spouse present",5+ years of college,75000
south atlantic division,female,49,"married, spouse present",2 years of college,63000
south atlantic division,female,47,divorced,2 years of college,30000
south atlantic division,female,19,never married/single,grade 11,0
south atlantic division,female,56,divorced,grade 12,0
south atlantic division,female,63,separated,grade 11,0
south atlantic division,male,50,never married/single,grade 10,9500
south atlantic division,male,59,never married/single,4 years of college,0
south atlantic division,female,49,"married, spouse present",grade 10,50000
south atlantic division,male,61,never married/single,4 years of college,70000
south atlantic division,female,58,widowed,grade 12,38600
south atlantic division,male,29,divorced,4 years of college,39000
south atlantic division,female,51,"married, spouse present",1 year of college,8500
south atlantic division,male,50,"married, spouse present",2 years of college,65000
south atlantic division,female,40,"married, spouse present",1 year of college,9000
south atlantic division,male,36,"married, spouse present",grade 12,50000
south atlantic division,male,38,"married, spouse present",grade 12,42000
south atlantic division,female,30,"married, spouse present",4 years of college,0
south atlantic division,female,65,"married, spouse present",2 years of college,49000
south atlantic division,male,50,"married, spouse present",5+ years of college,64000
south atlantic division,female,48,"married, spouse present",5+ years of college,83000
south atlantic division,male,20,never married/single,1 year of college,2000
south atlantic division,male,63,"married, spouse present",5+ years of college,197000
south atlantic division,female,62,"married, spouse present",4 years of college,0
south atlantic division,male,31,never married/single,grade 12,42000
south atlantic division,female,28,never married/single,5+ years of college,57000
south atlantic division,male,28,never married/single,4 years of college,71000
south atlantic division,female,59,divorced,4 years of college,105000
south atlantic division,female,23,never married/single,grade 12,12000
south atlantic division,male,64,"married, spouse present",2 years of college,10000
south atlantic division,male,60,"married, spouse present",5+ years of college,0
south atlantic division,female,60,"married, spouse present",4 years of college,71000
south atlantic division,male,27,"married, spouse present",1 year of college,50000
south atlantic division,female,26,"married, spouse present",2 years of college,20800
south atlantic division,male,52,"married, spouse present",2 years of college,54000
south atlantic division,female,43,"married, spouse present",grade 12,16900
south atlantic division,male,45,"married, spouse present",5+ years of college,160000
